profileName,esn,deviceType,acctFirstPlaybackDate,acctLastPlaybackDate,acctFirstPlaybackDateForUserGeneratedPlays,acctLastPlaybackDateForUserGeneratedPlays,profileFirstPlaybackDate,profileLastPlaybackDate,profileFirstPlaybackDateForUserGeneratedPlays,profileLastPlaybackDateForUserGeneratedPlays,deactivationTime
Kenzou,HISETVK32000000000000000000000000002141706,Hisense MTK5657 on UHD platform Smart TV,2018-05-04 18:25:13.685000,2020-11-12 18:23:23.897000,2018-07-19 16:57:52.327000,2020-11-12 18:23:23.897000,2018-05-04 18:25:13.685000,2020-10-13 16:18:00.660000,2018-11-16 18:14:17.697000,2020-10-13 16:18:00.660000,
Manuel,NFCDCH-LX-GMDTDNPUPPNNC7AQQ4FPT83P5AVC93,Netflix Chrome Linux (Cadmium) HTML 5,2020-09-29 11:33:02.320000,2020-09-29 11:42:08.283000,2020-09-29 11:33:02.320000,2020-09-29 11:33:02.320000,2020-09-29 11:33:02.320000,2020-09-29 11:42:08.283000,2020-09-29 11:33:02.320000,2020-09-29 11:33:02.320000,
Kenzou,NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,Sony PS4,2018-11-09 21:31:17.899000,2020-10-27 12:51:35.853000,2019-03-03 12:27:16.233000,2020-10-27 12:51:35.853000,2019-07-21 05:31:24.870000,2020-09-23 18:33:51.490000,2019-07-21 05:31:32.465000,2020-09-23 18:33:51.490000,
Manuel,NFANDROID1-PRV-P-SAMSUSM-A505F-7176-085F32C15783CC99DEED812102625AE30DCC632E54C378CAA1FB5C7533193B99C,DefaultWidevineAndroidPhone,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,,,,,
Christy,NFANDROID1-PRV-P-SAMSUSM-A505F-7176-085F32C15783CC99DEED812102625AE30DCC632E54C378CAA1FB5C7533193B99C,DefaultWidevineAndroidPhone,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,2019-11-04 14:34:15.291000,2020-08-02 17:40:24.769000,
Manuel,NFCDCH-LX-GED6K7AXG0V0XKQR7WU03N54638GME,Netflix Chrome Linux (Cadmium) HTML 5,2020-06-07 09:44:02.162000,2020-07-14 22:17:10.852000,2020-06-07 09:44:02.162000,2020-07-14 22:04:25.499000,2020-06-07 09:44:02.162000,2020-07-14 22:17:10.852000,2020-06-07 09:44:02.162000,2020-07-14 22:04:25.499000,
Christy,NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,Chrome PC (Cadmium),2019-05-07 16:01:21.493000,2020-06-28 16:12:57.753000,2019-05-07 16:22:28.366000,2020-06-28 16:12:57.753000,2019-05-07 16:01:21.493000,2020-06-28 16:12:57.753000,2019-05-07 16:22:28.366000,2020-06-28 16:12:57.753000,
Manuel,NFCDCH-AT-GG18GCE372LLQT1AUK8GR12RGF6ANE,Netflix Android Tablet Chrome Android Tablet,,,,,,,,,
Kenzou,NFCDCH-LX-GED6K7AXG0V0XKQR7WU03N54638GME,Netflix Chrome Linux (Cadmium) HTML 5,2020-06-07 09:44:02.162000,2020-07-14 22:17:10.852000,2020-06-07 09:44:02.162000,2020-07-14 22:04:25.499000,,,,,
Manuel,NFCDCH-AP-GED2RRELC79RLMW8TMKV6473JJTHQ0,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Manuel,NFCDCH-LX-GD7C7V6WW3J6N70HGJP8YHF6VKEH8W,Netflix Chrome Linux (Cadmium) HTML 5,2020-05-19 09:55:46.814000,2020-05-19 09:59:28.173000,2020-05-19 09:55:46.814000,2020-05-19 09:59:28.173000,2020-05-19 09:55:46.814000,2020-05-19 09:59:28.173000,2020-05-19 09:55:46.814000,2020-05-19 09:59:28.173000,
Manuel,NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,Netflix Chrome Linux (Cadmium) HTML 5,2019-08-16 09:04:27.750000,2020-05-15 20:32:13.314000,2019-08-16 09:04:36.383000,2020-05-15 19:59:41.515000,2019-08-16 09:04:27.750000,2020-05-15 20:32:13.314000,2019-08-16 09:04:36.383000,2020-05-15 19:59:41.515000,
