esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,64.38.166.48,Washington,2019-10-21 12:50:43.744
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.249,Unknown,2019-10-20 17:20:29.043
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.17,Unknown,2019-10-20 16:45:34.088
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.254,Unknown,2019-10-20 16:03:15.748
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,162.218.95.196,Virginia,2019-10-20 14:44:40.398
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,GH,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,154.65.120.4,Greater Accra,2019-10-20 14:17:20.311
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.131.230,Unknown,2019-10-19 18:22:01.012
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.131.230,Unknown,2019-10-19 16:56:46.570
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,155.93.188.141,Unknown,2019-10-19 16:35:13.901
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.188.141,Unknown,2019-10-19 07:19:16.085
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.254,Unknown,2019-10-18 14:39:09.044
NFCDCH-LX-FNDW8Y276U3JL96F593DGVTGCE67HL,US,Netflix Chrome Linux (Cadmium) HTML 5,Netflix Chrome Linux (Cadmium) HTML 5,162.218.95.234,Virginia,2019-10-18 12:18:11.590
