Profile Name,Title Name,Rating Type,Star Value,Thumbs Value,Device Model,Event Utc Ts,Region View Date
Manuel,Extinction,thumb,,2,HTML 5,2018-08-01 09:02:21,
Manuel,Marvel's Jessica Jones,thumb,,2,HTML 5,2018-04-19 12:01:38,
Manuel,Michael Jackson's This Is It,thumb,,2,Smart TV,2018-03-08 10:23:50,
Antonio,The Perfect Date,thumb,,2,Smart TV,2019-04-14 18:32:04,
Christy,Emily in Paris,thumb,,2,HTML 5,2020-10-20 09:07:36,
Christy,Selling Sunset,thumb,,2,HTML 5,2020-05-16 17:33:16,
