Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Manuel,tvui,movieDetails,,,2020-10-22 22:15:49
Manuel,tvui,browseTitles,,,2020-10-22 22:15:38
Manuel,tvui,movieDetails,,,2020-10-22 22:15:38
Manuel,tvui,postPlay,,,2020-10-22 22:15:37
Manuel,tvui,movieDetails,,,2020-10-22 22:15:37
Manuel,tvui,playback,,,2020-10-22 22:14:50
Manuel,tvui,postPlay,,,2020-10-22 22:14:50
Manuel,tvui,playback,,,2020-10-22 20:34:14
Manuel,tvui,movieDetails,,,2020-10-22 20:34:14
Manuel,tvui,browseTitles,,,2020-10-22 20:34:13
Manuel,tvui,movieDetails,,,2020-10-22 20:34:13
Manuel,tvui,movieDetails,,,2020-10-22 20:33:59
Manuel,tvui,browseTitles,,,2020-10-22 20:33:59
Manuel,tvui,postPlay,,,2020-10-22 20:33:53
Manuel,tvui,movieDetails,,,2020-10-22 20:33:53
Manuel,tvui,playback,,,2020-10-22 20:33:27
Manuel,tvui,postPlay,,,2020-10-22 20:33:27
Manuel,tvui,movieDetails,,,2020-10-22 19:56:54
Manuel,tvui,playback,,,2020-10-22 19:56:54
Manuel,tvui,browseTitles,,,2020-10-22 19:56:51
Manuel,tvui,movieDetails,,,2020-10-22 19:56:51
Manuel,tvui,profilesGate,,,2020-10-22 19:56:35
Manuel,tvui,browseTitles,,,2020-10-22 19:56:35
Manuel,tvui,movieDetails,,,2020-10-17 22:47:55
Manuel,tvui,playback,,,2020-10-17 22:47:55
Manuel,tvui,browseTitles,,,2020-10-17 22:47:54
Manuel,tvui,movieDetails,,,2020-10-17 22:47:54
Manuel,tvui,profilesGate,,,2020-10-17 22:44:50
Manuel,tvui,browseTitles,,,2020-10-17 22:44:50
Manuel,tvui,postPlay,,,2020-10-15 19:02:18
Manuel,tvui,playback,,,2020-10-15 19:02:18
Manuel,tvui,playback,,,2020-10-15 19:02:13
Manuel,tvui,postPlay,,,2020-10-15 19:02:13
Manuel,tvui,movieDetails,,,2020-10-15 18:48:03
Manuel,tvui,playback,,,2020-10-15 18:48:03
Manuel,tvui,playback,,,2020-10-15 18:47:51
Manuel,tvui,movieDetails,,,2020-10-15 18:47:51
Manuel,tvui,postPlay,,,2020-10-15 18:39:50
Manuel,tvui,playback,,,2020-10-15 18:39:50
Manuel,tvui,playback,,,2020-10-15 18:39:45
Manuel,tvui,postPlay,,,2020-10-15 18:39:45
Manuel,tvui,movieDetails,,,2020-10-15 18:35:42
Manuel,tvui,playback,,,2020-10-15 18:35:42
Manuel,tvui,browseTitles,,,2020-10-15 18:35:33
Manuel,tvui,movieDetails,,,2020-10-15 18:35:33
Manuel,tvui,profilesGate,,,2020-10-15 18:34:22
Manuel,tvui,browseTitles,,,2020-10-15 18:34:22
Manuel,tvui,movieDetails,,,2020-10-14 21:19:32
Manuel,tvui,playback,,,2020-10-14 21:19:32
Manuel,tvui,playback,,,2020-10-14 21:19:32
Manuel,tvui,playback,,,2020-10-14 21:19:32
Manuel,tvui,movieDetails,,,2020-10-14 21:19:17
Manuel,tvui,browseTitles,,,2020-10-14 21:19:17
Manuel,tvui,profilesGate,,,2020-10-14 21:19:07
Manuel,tvui,browseTitles,,,2020-10-14 21:19:07
Manuel,tvui,movieDetails,,,2020-10-13 21:51:56
Manuel,tvui,playback,,,2020-10-13 21:51:56
Manuel,tvui,postPlay,,,2020-10-13 21:51:54
Manuel,tvui,movieDetails,,,2020-10-13 21:51:54
Manuel,tvui,playback,,,2020-10-13 21:50:36
Manuel,tvui,postPlay,,,2020-10-13 21:50:36
Manuel,tvui,postPlay,,,2020-10-13 21:23:52
Manuel,tvui,playback,,,2020-10-13 21:23:52
Manuel,tvui,playback,,,2020-10-13 21:23:46
Manuel,tvui,postPlay,,,2020-10-13 21:23:46
Manuel,tvui,playback,,,2020-10-13 21:16:19
Manuel,tvui,movieDetails,,,2020-10-13 21:16:19
Manuel,tvui,browseTitles,,,2020-10-13 21:16:17
Manuel,tvui,movieDetails,,,2020-10-13 21:16:17
Manuel,tvui,profilesGate,,,2020-10-13 21:16:03
Manuel,tvui,browseTitles,,,2020-10-13 21:16:03
Manuel,tvui,browseTitles,,,2020-10-12 14:16:02
Manuel,tvui,profilesGate,,,2020-10-12 14:16:02
Manuel,tvui,movieDetails,,,2020-10-12 14:15:58
Manuel,tvui,browseTitles,,,2020-10-12 14:15:58
Manuel,tvui,playback,,,2020-10-12 14:02:46
Manuel,tvui,movieDetails,,,2020-10-12 14:02:46
Manuel,tvui,movieDetails,,,2020-10-12 13:42:38
Manuel,tvui,playback,,,2020-10-12 13:42:38
Manuel,tvui,browseTitles,,,2020-10-12 13:42:36
Manuel,tvui,movieDetails,,,2020-10-12 13:42:36
Manuel,tvui,postPlay,,,2020-10-12 13:42:29
Manuel,tvui,browseTitles,,,2020-10-12 13:42:29
Manuel,tvui,playback,,,2020-10-12 13:42:20
Manuel,tvui,postPlay,,,2020-10-12 13:42:20
Manuel,tvui,browseTitles,,,2020-10-12 13:41:18
Manuel,tvui,playback,,,2020-10-12 13:41:18
Manuel,tvui,profilesGate,,,2020-10-12 13:41:16
Manuel,tvui,browseTitles,,,2020-10-12 13:41:16
Manuel,tvui,profilesGate,,,2020-10-12 13:41:02
Manuel,tvui,postPlay,,,2020-10-12 11:03:37
Manuel,tvui,playback,,,2020-10-12 11:03:37
Manuel,tvui,playback,,,2020-10-12 11:03:31
Manuel,tvui,postPlay,,,2020-10-12 11:03:31
Manuel,tvui,movieDetails,,,2020-10-12 10:50:34
Manuel,tvui,playback,,,2020-10-12 10:50:34
Manuel,tvui,browseTitles,,,2020-10-12 10:48:35
Manuel,tvui,movieDetails,,,2020-10-12 10:48:35
Manuel,tvui,profilesGate,,,2020-10-12 10:48:14
Manuel,tvui,browseTitles,,,2020-10-12 10:48:14
Manuel,tvui,movieDetails,,,2020-10-08 17:48:21
Manuel,tvui,playback,,,2020-10-08 17:48:21
Manuel,tvui,searchSuggestionTitleResults,,,2020-10-08 17:48:19
